,id,username,tweet,created_at
0,1233905291936325634,Kirill Klip 🌎🔥#rEVolution🔌🎸,RT @TNR_Gold: Is The Model Y Truly The Best #Tesla Yet? https://t.co/j4Ha4k35SL,2020-03-01 00:02:01
1,1233907496470839296,Guillaume Mercier,"RT @SavedTesla: With HW3 visualisation, a #Tesla can see the stop sign on a school bus : https://t.co/dseAEUOdRZ",2020-03-01 00:10:46
2,1233909576912732161,The 🔋Tesladorian🔋👽,Renting #Tesla Model 3 in #Amsterdam tommorow to go to Belgium! 🥰⚡,2020-03-01 00:19:02
3,1233909947605430278,La Sal de la Tierra®©2017✤,#Tesla x ambientalistas: una lucha por un #floresta en #Alemanha https://t.co/SwXBPc5SRD,2020-03-01 00:20:31
4,1233912062394265601,Duchess of Exeter 😷,"RT @ellymelly: @canseeyourBS Aaaaand what are they going to do with #Tesla cars where the entire control system is a giant tablet???

#ausp…",2020-03-01 00:28:55
5,1233913840741625856,FCP Euro,"The concept for the next Polestar vehicle is looking very promising - would you buy this over a comparable #Tesla or the new #Porsche Taycan just based on looks?

Via: @thedrive - https://t.co/yuHnoQX65W",2020-03-01 00:35:59
6,1233915852333944833,Tesla Canuck,"Here is an update on my recent Tesla support nightmare. Short story, it is partially fixed. Skip this if Tesla constructive feedback isn't your thing.

https://t.co/iVeoPCGztK

#tesla #model3 #teslamodel3 #teslaservice #teslasupport

@tesla_talks @MFrunker @trevlan006",2020-03-01 00:43:58
7,1233918739684311041,RenewEconomy,How the #Tesla big battery has smoothed the transition to zero emissions grid https://t.co/NeSpmBkZci @elonmusk,2020-03-01 00:55:27
8,1233919160398143488,Michael Purvis,"RT @renew_economy: #Tesla big battery delivered $116 million in market savings in 2019, says new report  @elonmusk https://t.co/gNyWvvragE",2020-03-01 00:57:07
9,1233922903537664000,Jay Yu,Here's me standing next to a blue Model 3 so you can compare it to the Model Y. Im holding a 20oz boba milk tea and I'm wearing Nike Epic Reacts with a .75inch sole 😂. Butt is 1 inch from car in both pics. #ModelY #Tesla #Yanggang #MATH @elonmusk @AndrewYang https://t.co/vRd2izssvn https://t.co/LIzUXHo3gd,2020-03-01 01:12:00
10,1233923731342254080,Patrick Davis,"RT @vincent13031925: Tesla Model Y SUVs Spotted In Fremont Factory Ready For Delivery

$TSLA #Tesla #ModelY 

https://t.co/a5h7vHAf0Q",2020-03-01 01:15:17
11,1233925850736672768,Santiago⭐︎,"テスラの評価を日本目線と世界目線で正しく伝えてる良記事^ ^
ほんと実物知らないで批判する人はどんどん置いてかれちゃいますよ~
#Tesla
#Model3 
#日産リーフ 
#日刊スパ
https://t.co/35uoKTYvPd",2020-03-01 01:23:42
12,1233926170770460673,🔋 AerialEng 👻🔋🤘🏻,RT @Supermantibody: Renting #Tesla Model 3 in #Amsterdam tommorow to go to Belgium! 🥰⚡,2020-03-01 01:24:59
13,1233927736483340288,Angelo Austin,A No-Sew Way to Make Your Own Lavender Bunnies - https://t.co/GawyOhKf94 #electricity #diy #energystorage #inspiration #Tesla #solarpower #permaculture #green #solar,2020-03-01 01:31:12
14,1233933132862283777,adriana,@AnaSvyshchuk #swag,2020-03-01 01:52:38
15,1233943123304177665,WebScale Webster,RT @teslaincanada: Dope or nope? #Tesla Model S Estate (wagon) by @Vredestein https://t.co/HDUhj2ysnh,2020-03-01 02:32:20
16,1233946707311808512,なおたろす,"RT @TeslAquarius: テスラの評価を日本目線と世界目線で正しく伝えてる良記事^ ^
ほんと実物知らないで批判する人はどんどん置いてかれちゃいますよ~
#Tesla
#Model3 
#日産リーフ 
#日刊スパ
https://t.co/35uoKTYvPd",2020-03-01 02:46:35
17,1233948789377028096,laurallee56,#Win $10 GC #Books #Swag #BookTour #Giveaway #BookBoost #Romantic #Suspense #KendrickPennsylvania #JMcCreary  https://t.co/tMfbEj2vcu,2020-03-01 02:54:51
18,1233955160117764096,Dermot O'Gorman,RT @renew_economy: How the #Tesla big battery has smoothed the transition to zero emissions grid https://t.co/NeSpmBkZci @elonmusk,2020-03-01 03:20:10
19,1233962271954685953,🌹R̶̥̟͉̟͍̟̠͔̉̆̈̿̅̋̒̇͌̃͘̚M̴̡̧̼̙͇̻̫̜̱̩̣̒̈́̓͌̒͊̌͌̀͝͝ ࿐,#Tesla #GigaBerlin - 4K Drone Footage - 22. February 2020 https://t.co/xT2G1rqaQv via @YouTube @ELONMUSK,2020-03-01 03:48:26
20,1233963553759072256,jimrockfordatSH,"RT @TeslaNY: Joe Rogan on Tesla Model S, Roadster 🏎⚡️🔌 Full Video → https://t.co/2mzgRbT14E $TSLA #Tesla #EV @elonmusk https://t.co/0uTiHNM…",2020-03-01 03:53:31
21,1233966148128919559,Vincent 🚀🟠,"Hornsdale Power Reserve Showcases Reliable Renewable Network of the Future

$TSLA #Tesla #Energy
https://t.co/VYwyLvuXYF",2020-03-01 04:03:50
22,1233967354633023488,🔋@mymodl3 🔋,#TeslaPics The modern day version of a Smiley Face. #Tesla #Model3 https://t.co/GVKNiETS4c,2020-03-01 04:08:38
23,1233967634799980544,K G,@vincent13031925 This Hornsdale project was so great that they asked asked Tesla back for an addition to the first project. Now that is a definite testimonial to how much economic improvement #Tesla #tsla is bringing to Australia. https://t.co/dZjhnvvc3i,2020-03-01 04:09:44
24,1233972482987700225,Got Swag,"3 in 1 Rubber Hybrid Heavy Defend Shockproof Full Coverage Case Cover for iPhone X XS Max XR 6 6S 7 8 Plus 5s SE with Belt Clip https://t.co/BUMKhtzb9w
#swag😎 #shoppingaddict #swager #swaggers #swagstyle https://t.co/W2EZTxeORg",2020-03-01 04:29:00
25,1233973755992584197,Thomas J Thias / Clean Energy Retort™ 517-749-0532,RT @MunroAssociates: Sandy #Munro Comments on #Tesla’s Secret Sauce: https://t.co/R8WhnsG4LS  #Model3 #Superbottle https://t.co/YY10ZJgYqd,2020-03-01 04:34:04
26,1233974228652785665,Thomas J Thias / Clean Energy Retort™ 517-749-0532,"RT @MunroAssociates: #Munro’s Tearing Down #Tesla Segment 5: Seat Comparison on #Tesla #Model3, #BMW #i3 and #Chevy #Bolt: https://t.co/kYf…",2020-03-01 04:35:56
27,1233974312568336387,BoldontheMove,"RT @ShortingIsFun: In other words, goodbye to #Tesla 's Buffalo Plant.

$TSLA #Solar

https://t.co/DVxGqS9SkD",2020-03-01 04:36:16
28,1233974492453429249,Richard Chapman 🚘🔌🌞🔋🇦🇺🇬🇧🇪🇺,"The Tesla Cybertruck is the ugliest, most brutalist, 1980s style, still rendering, no paint, ridiculous triangle truck ever designed and it's not even going to be available here for three years and it's just so stupid so I've just ordered one @tesla @elonmusk #Cybertruck #tesla https://t.co/Pp9eAVhfhe",2020-03-01 04:36:59
29,1233975518858485761,Alexia Gurza,"Endless sunset back in NYC. 
•
•
•
•
•
•
#newyork #newyorkcity #newyorkcitygirl #travelphotography #travel #outfit #outfitideas #blonde #citylife #photography #cool #swag #fashion #style #actress #actresslife… https://t.co/A3R9rgnGpr",2020-03-01 04:41:04
30,1233975757879332865,Elon Promises,"""Tesla semis with a better drag coefficient than a supercar just waiting on permits. An exponential improvement to anything else out there.""

#Tesla $tsla $tslaq",2020-03-01 04:42:01
31,1233976853880168448,Giles Parkinson,RT @renew_economy: How the #Tesla big battery has smoothed the transition to zero emissions grid https://t.co/NeSpmBkZci @elonmusk,2020-03-01 04:46:22
32,1233979659034882050,electivenow@gmail.com,"RT @Droit_IA: #Tesla wants to build a factory near Berlin to attack Germany's auto giants, but it has to worry about local bats, wolves, an…",2020-03-01 04:57:31
33,1233983928957956096,Vikaas Kalantri,"Before that lets do some #sundayswag - my favourite poser in crime ❤️❤️ @Pri_Kalantri 
.
.
.
.
#swag #style #sunday #poser #posers #weekend #chill #letsgo #vikaaskalantri #priyankakalantri https://t.co/Mf4tjbUu3D",2020-03-01 05:14:29
34,1233984431746093061,मुद्दों की मुहिम ⏺️(आत्मनिर्भर भारत🇮🇳🇮🇳🇮🇳),"RT @VikasKalantri: Before that lets do some #sundayswag - my favourite poser in crime ❤️❤️ @Pri_Kalantri 
.
.
.
.
#swag #style #sunday #pos…",2020-03-01 05:16:29
35,1233985108685639680,revibuy,"Hi, new instagram account, time to post my best clips and let's start with this one.

#twitch #gamer #apexlegends #yoink #streamer #ttv #yoink #youtube #likeforlike #followforfollow #swag https://t.co/6qhy2HSz7u",2020-03-01 05:19:10
36,1233988869709815810,Mohammed. Tarik khan,🔝 #amazing #style insta.tags #100likes #nofilter #bestoftheday #50likes #life #instagram #swag #followforfollow #sun #fitness #f4f #l4l #beauty #pretty #music #instatags #tagstagramers #beach #sweet #lol #photo… https://t.co/cvgXozklEY,2020-03-01 05:34:07
37,1233996362032676865,Altaf khan,"No captions needed...!!😎🤙❤️
#mah 
#pictorial #picframe #swag #loveyourself #attitudematters https://t.co/S1hNRVxvnu",2020-03-01 06:03:53
38,1233996483667648517,Insane Rishi,"PREMIUM PASS
SEASON -4
.
.
😍😍
.
Go &amp; Follow me now on #TIKTOK
.
.
Id-@rbrishi5111
.
.
#freefire #garenafreefire photooftheday
#instagood
#nofilter #tbt#igers  #picoftheday  #love  #nature #swag #lifeisgood… https://t.co/arWZdm6Fx8",2020-03-01 06:04:22
39,1233996531457576960,James Robert,#Win $25 Amazon #Swag #BookTour #Giveaway #BookBoost #SciFi #Romance #Adventure #DefyingTheRelicHunter @Askole https://t.co/mXzjnCYxZ5,2020-03-01 06:04:34
